P|SA|Name|CLAT|CLON|SLAT|ELAT|SLON|ELON|DIR|DIAM|CT|ET|QUAD|MAP|AS|AD|REF|FT|Origin
"E"|"m"|"Heinsius Q"|-39.9|-14.5|||||"E"|35.0|"EU"|"GE"|"LAC 111"|"LAC 111"|5|2006|66|"SF"|"Gottfried; German astronomer (1709-1769)."
"E"|"m"|"Heinsius R"|-40.2|-20.7|||||"E"|5.0|"EU"|"GE"|"LAC 111"|"LAC 111"|5|2006|66|"SF"|"Gottfried; German astronomer (1709-1769)."
"E"|"m"|"Heinsius S"|-39.6|-16.9|||||"E"|7.0|"EU"|"GE"|"LAC 111"|"LAC 111"|5|2006|66|"SF"|"Gottfried; German astronomer (1709-1769)."
"E"|"m"|"Heinsius T"|-39.7|-16.5|||||"E"|7.0|"EU"|"GE"|"LAC 111"|"LAC 111"|5|2006|66|"SF"|"Gottfried; German astronomer (1709-1769)."
"E"|"m"|"Heis A"|32.7|-31.9|||||"E"|6.0|"EU"|"GE"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Eduard; German astronomer (1806-1877)."
"E"|"m"|"Heis D"|31.7|-31.1|||||"E"|8.0|"EU"|"GE"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Eduard; German astronomer (1806-1877)."
"E"|"m"|"Helberg C"|23.4|-100.6|||||"E"|70.0|"NA"|"AM"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Robert J.; American aeronautical engineer (1906-1967)."
"E"|"m"|"Helberg H"|21.8|-101.2|||||"E"|29.0|"NA"|"AM"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Robert J.; American aeronautical engineer (1906-1967)."
"E"|"m"|"Helicon B"|38.0|-21.3|||||"E"|6.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Greek astronomer, mathematician (fl. c. 361 B.C.)."
"E"|"m"|"Helicon C"|40.1|-26.2|||||"E"|1.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Greek astronomer, mathematician (fl. c. 361 B.C.)."
"E"|"m"|"Helicon E"|40.5|-24.1|||||"E"|3.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Greek astronomer, mathematician (fl. c. 361 B.C.)."
"E"|"m"|"Helicon G"|41.7|-24.9|||||"E"|2.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Greek astronomer, mathematician (fl. c. 361 B.C.)."
"E"|"m"|"Hell A"|-33.9|-8.4|||||"E"|22.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell B"|-30.0|-5.8|||||"E"|22.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell C"|-34.0|-6.4|||||"E"|14.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell E"|-34.5|-6.1|||||"E"|10.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell H"|-31.7|-3.8|||||"E"|5.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell J"|-29.7|-6.9|||||"E"|6.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell K"|-34.0|-5.3|||||"E"|5.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell L"|-30.6|-4.7|||||"E"|6.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell M"|-30.3|-4.7|||||"E"|10.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell N"|-30.0|-5.0|||||"E"|4.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell P"|-32.5|-5.7|||||"E"|4.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell Q"|-33.0|-4.4|||||"E"|4.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell R"|-32.7|-6.5|||||"E"|3.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell S"|-33.4|-6.2|||||"E"|4.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell T"|-33.7|-7.0|||||"E"|5.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell U"|-33.4|-9.1|||||"E"|5.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell V"|-32.8|-8.8|||||"E"|7.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell W"|-32.5|-8.6|||||"E"|7.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Hell X"|-32.0|-9.1|||||"E"|4.0|"EU"|"HU"|"LAC 112"|"LAC 112"|5|2006|66|"SF"|"Maximilian; Hungarian astronomer (1720-1792)."
"E"|"m"|"Helmholtz A"|-64.4|51.5|||||"E"|16.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz B"|-67.8|68.4|||||"E"|10.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz D"|-66.3|54.3|||||"E"|46.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz F"|-64.3|60.1|||||"E"|53.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz H"|-64.5|65.2|||||"E"|18.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz J"|-64.8|67.8|||||"E"|22.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz M"|-65.2|51.1|||||"E"|21.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz N"|-64.8|50.1|||||"E"|13.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz R"|-63.5|54.7|||||"E"|12.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz S"|-64.3|56.6|||||"E"|31.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Helmholtz T"|-65.7|59.7|||||"E"|31.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Hermann Von; German doctor (1821-1894)."
"E"|"m"|"Henderson B"|7.6|153.2|||||"E"|18.0|"EU"|"SC"|"LOC-4"|"LOC-4"|5|2006|0|"SF"|"Thomas; Scottish astronomer (1798-1844)."
"E"|"m"|"Henderson F"|4.7|155.7|||||"E"|14.0|"EU"|"SC"|"LOC-4"|"LOC-4"|5|2006|0|"SF"|"Thomas; Scottish astronomer (1798-1844)."
"E"|"m"|"Henderson G"|3.6|155.8|||||"E"|46.0|"EU"|"SC"|"LOC-4"|"LOC-4"|5|2006|0|"SF"|"Thomas; Scottish astronomer (1798-1844)."
"E"|"m"|"Henderson Q"|3.4|151.0|||||"E"|17.0|"EU"|"SC"|"LOC-4"|"LOC-4"|5|2006|0|"SF"|"Thomas; Scottish astronomer (1798-1844)."
"E"|"m"|"Hendrix M"|-48.4|-158.9|||||"E"|21.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"Don Osgood; American optician (1905-1961)."
"E"|"m"|"Henry A"|-24.5|-57.1|||||"E"|8.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry B"|-24.3|-56.3|||||"E"|5.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry D"|-24.9|-59.1|||||"E"|7.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry J"|-22.8|-55.4|||||"E"|5.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry K"|-23.2|-55.5|||||"E"|6.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry L"|-25.5|-57.4|||||"E"|6.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry M"|-25.8|-57.6|||||"E"|13.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry N"|-26.1|-58.3|||||"E"|9.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry P"|-25.8|-59.0|||||"E"|6.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Joseph; American physicist (1797-1878)."
"E"|"m"|"Henry Frères C"|-24.6|-59.7|||||"E"|37.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henry Frères E"|-24.6|-60.0|||||"E"|4.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henry Frères G"|-22.8|-58.0|||||"E"|4.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henry Frères H"|-22.3|-56.6|||||"E"|6.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henry Frères R"|-21.5|-57.8|||||"E"|7.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henry Frères S"|-20.5|-56.4|||||"E"|6.0|"NA"|"AM"|"LAC 92"|"LAC 92"|5|2006|89|"SF"|"Prosper; French astronomer (1849-1903); Paul; French astronomer (1848-1905)."
"E"|"m"|"Henyey U"|14.2|-153.0|||||"E"|45.0|"NA"|"AM"|"LOC-4"|"LOC-4"|5|2006|68|"SF"|"Louis George; American astronomer (1910-1970)."
"E"|"m"|"Henyey V"|14.7|-153.9|||||"E"|26.0|"NA"|"AM"|"LOC-4"|"LOC-4"|5|2006|68|"SF"|"Louis George; American astronomer (1910-1970)."
"E"|"m"|"Heraclides A"|40.9|-34.2|||||"E"|6.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Named for Promontorium Heraclides."
"E"|"m"|"Heraclides E"|42.9|-32.7|||||"E"|4.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Named for Promontorium Heraclides."
"E"|"m"|"Heraclides F"|38.5|-33.7|||||"E"|3.0|"EU"|"GR"|"LAC 24"|"LAC 24"|5|2006|66|"SF"|"Named for Promontorium Heraclides."
"E"|"m"|"Heraclitus A"|-49.3|4.7|||||"E"|6.0|"EU"|"GR"|"LAC 126"|"LAC 126"|5|2006|67|"SF"|"Greek philosopher (c. 540-480 B.C.)."
"E"|"m"|"Heraclitus C"|-48.8|6.3|||||"E"|7.0|"EU"|"GR"|"LAC 126"|"LAC 126"|5|2006|67|"SF"|"Greek philosopher (c. 540-480 B.C.)."
"E"|"m"|"Heraclitus D"|-50.4|5.2|||||"E"|52.0|"EU"|"GR"|"LAC 126"|"LAC 126"|5|2006|67|"SF"|"Greek philosopher (c. 540-480 B.C.)."
"E"|"m"|"Heraclitus E"|-49.7|6.7|||||"E"|7.0|"EU"|"GR"|"LAC 126"|"LAC 126"|5|2006|67|"SF"|"Greek philosopher (c. 540-480 B.C.)."
"E"|"m"|"Heraclitus K"|-49.5|3.5|||||"E"|17.0|"EU"|"GR"|"LAC 126"|"LAC 126"|5|2006|67|"SF"|"Greek philosopher (c. 540-480 B.C.)."
"E"|"m"|"Hercules B"|47.8|36.6|||||"E"|9.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules C"|42.7|35.3|||||"E"|9.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules D"|44.8|39.7|||||"E"|8.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules E"|45.7|38.5|||||"E"|9.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules F"|50.3|41.7|||||"E"|14.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules G"|46.4|39.2|||||"E"|14.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules H"|51.2|40.9|||||"E"|7.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules J"|44.1|36.4|||||"E"|8.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Hercules K"|44.2|36.9|||||"E"|7.0|"EU"|"GR"|"LAC 27"|"LAC 27"|5|2006|93|"SF"|"Latin spelling for Greek mythological hero Heracles."
"E"|"m"|"Herigonius E"|-13.8|-35.6|||||"E"|7.0|"EU"|"FR"|"LAC 75"|"LAC 75"|5|2006|68|"SF"|"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
"E"|"m"|"Herigonius F"|-15.5|-35.0|||||"E"|5.0|"EU"|"FR"|"LAC 75"|"LAC 75"|5|2006|68|"SF"|"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
"E"|"m"|"Herigonius G"|-15.3|-32.4|||||"E"|3.0|"EU"|"FR"|"LAC 75"|"LAC 75"|5|2006|68|"SF"|"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
"E"|"m"|"Herigonius H"|-17.0|-33.2|||||"E"|4.0|"EU"|"FR"|"LAC 75"|"LAC 75"|5|2006|68|"SF"|"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
"E"|"m"|"Herigonius K"|-12.8|-36.4|||||"E"|3.0|"EU"|"FR"|"LAC 75"|"LAC 75"|5|2006|68|"SF"|"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
"E"|"m"|"Hermann A"|0.4|-58.2|||||"E"|4.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann B"|-0.3|-57.1|||||"E"|5.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann C"|-0.2|-60.6|||||"E"|3.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann D"|-2.3|-54.0|||||"E"|3.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann E"|0.1|-52.0|||||"E"|4.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann F"|1.3|-55.4|||||"E"|5.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann H"|0.9|-61.8|||||"E"|4.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann J"|2.6|-57.4|||||"E"|4.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann K"|2.4|-58.3|||||"E"|3.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann L"|2.4|-59.1|||||"E"|3.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann R"|0.6|-55.6|||||"E"|3.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermann S"|1.0|-55.5|||||"E"|4.0|"EU"|"SZ"|"LAC 74"|"LAC 74"|5|2006|66|"SF"|"Jacob; Swiss mathematician (1678-1733)."
"E"|"m"|"Hermite A"|87.8|-47.1|||||"E"|20.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Charles; French mathematician (1822-1901)."
"E"|"m"|"Herodotus A"|21.5|-52.0|||||"E"|10.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus B"|22.6|-55.4|||||"E"|6.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus C"|21.9|-55.0|||||"E"|5.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus E"|29.5|-51.8|||||"E"|48.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus G"|24.7|-50.2|||||"E"|4.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus H"|26.8|-50.0|||||"E"|6.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus K"|24.5|-51.9|||||"E"|5.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus L"|26.1|-53.2|||||"E"|4.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus N"|23.7|-50.0|||||"E"|4.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus R"|27.3|-53.9|||||"E"|4.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus S"|27.7|-53.4|||||"E"|4.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Herodotus T"|27.9|-53.8|||||"E"|5.0|"EU"|"GR"|"LAC 39"|"LAC 39"|5|2006|66|"SF"|"Of Halikarnassus; Greek historian (c. 484-408 B.C.)."
"E"|"m"|"Heron (Hero) H"|0.2|120.7|||||"E"|20.0|"AF"|"EG"|"LTO65D3"|"LTO-65D3"|5|2006|0|"SF"|"Egyptian inventor (unkn-c. 100 B.C.)."
"E"|"m"|"Heron (Hero) Y"|1.4|119.7|||||"E"|15.0|"AF"|"EG"|"LTO65D3"|"LTO-65D3"|5|2006|0|"SF"|"Egyptian inventor (unkn-c. 100 B.C.)."
"E"|"m"|"Herschel C"|-5.0|-3.2|||||"E"|10.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel D"|-5.3|-4.0|||||"E"|20.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel F"|-5.8|-4.4|||||"E"|7.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel G"|-6.5|-2.4|||||"E"|14.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel H"|-6.3|-3.4|||||"E"|5.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel J"|-6.4|-4.3|||||"E"|5.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel N"|-5.2|-1.1|||||"E"|15.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Herschel X"|-5.3|-2.7|||||"E"|3.0|"EU"|"GB"|"LTO77A3"|"LTO-77A3"|5|2006|68|"SF"|"Sir William; German-born British astronomer (1738-1822)."
"E"|"m"|"Hertzsprung D"|3.3|-125.4|||||"E"|45.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung H"|-1.3|-124.4|||||"E"|21.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung K"|-0.5|-127.6|||||"E"|27.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung L"|0.4|-127.8|||||"E"|33.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung M"|-7.5|-128.9|||||"E"|36.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung P"|0.0|-129.3|||||"E"|22.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung R"|-0.1|-131.8|||||"E"|33.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung S"|0.6|-132.5|||||"E"|47.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung V"|5.2|-133.3|||||"E"|39.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung X"|3.8|-129.1|||||"E"|24.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hertzsprung Y"|8.8|-131.2|||||"E"|23.0|"EU"|"DE"|"LOC-1"|"LOC-1"|5|2006|0|"SF"|"Ejnar; Danish astronomer (1873-1967)."
"E"|"m"|"Hesiodus A"|-30.1|-17.0|||||"E"|15.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus B"|-27.1|-17.5|||||"E"|10.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus D"|-29.3|-16.4|||||"E"|5.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus E"|-27.8|-15.3|||||"E"|3.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus X"|-27.3|-16.2|||||"E"|24.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus Y"|-28.3|-17.2|||||"E"|17.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hesiodus Z"|-28.7|-19.4|||||"E"|4.0|"EU"|"GR"|"LAC 94"|"LAC 94"|5|2006|66|"SF"|"Hesiod; Greek humanitarian (c. 735 B.C.)."
"E"|"m"|"Hess M"|-55.9|173.7|||||"E"|27.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|159|"SF"|"Victor Franz (Francis); American physicist (1883-1964); Harry Hammond; American geologist (1906-1969)."
